,id,cwe,cve,ecosystem,package,buggy_version,fixed_version,package_url,advisory_file,repository_url,fixed,buggy,cbuggy,commits
573,GHSA-xmw9-q7x9-j5qc,CWE-400;CWE-770,CVE-2021-21293,Maven,org.http4s:blaze-core_2.11,0,0.14.15,https://github.com/http4s/blaze/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/02/GHSA-xmw9-q7x9-j5qc/GHSA-xmw9-q7x9-j5qc.json,https://github.com/http4s/blaze,0.14.15,0.14.14,,https://github.com/http4s/blaze/commit/4f786177f9fb71ab272f3a5f6c80bca3e5662aa1
574,GHSA-2cxf-6567-7pp6,CWE-378;CWE-379,CVE-2021-21331,Maven,com.datadoghq:datadog-api-client,1.0.0-beta.6,1.0.0-beta.9,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-2cxf-6567-7pp6/GHSA-2cxf-6567-7pp6.json,https://github.com/DataDog/datadog-api-client-java,1.0.0-beta.9,1.0.0-beta.7,,
575,GHSA-2p3x-qw9c-25hh,CWE-400;CWE-502;CWE-835,CVE-2021-21341,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-2p3x-qw9c-25hh/GHSA-2p3x-qw9c-25hh.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,
576,GHSA-43gc-mjxg-gvrq,CWE-434;CWE-502,CVE-2021-21350,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-43gc-mjxg-gvrq/GHSA-43gc-mjxg-gvrq.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
577,GHSA-4hrm-m67v-5cxr,CWE-434;CWE-502,CVE-2021-21346,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-4hrm-m67v-5cxr/GHSA-4hrm-m67v-5cxr.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
578,GHSA-56p8-3fh9-4cvq,CWE-400;CWE-502,CVE-2021-21348,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-56p8-3fh9-4cvq/GHSA-56p8-3fh9-4cvq.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
579,GHSA-59jw-jqf4-3wq3,CWE-434;CWE-502,CVE-2021-21344,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-59jw-jqf4-3wq3/GHSA-59jw-jqf4-3wq3.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
580,GHSA-5fvx-2jj3-6mff,CWE-522,CVE-2021-22132,Maven,org.elasticsearch:elasticsearch,7.7.0,7.10.2,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-5fvx-2jj3-6mff/GHSA-5fvx-2jj3-6mff.json,https://github.com/elastic/elasticsearch,7.10.2,7.10.1,,
581,GHSA-5mg8-w23w-74h3,CWE-173;CWE-200;CWE-378;CWE-732,CVE-2020-8908,Maven,com.google.guava:guava,0,32.0.0-android,https://github.com/google/guava,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-5mg8-w23w-74h3/GHSA-5mg8-w23w-74h3.json,https://github.com/google/guava,32.0.0-android,31.1-jre,,https://github.com/google/guava/commit/feb83a1c8fd2e7670b244d5afd23cba5aca43284;https://github.com/google/guava/commit/fec0dbc4634006a6162cfd4d0d09c962073ddf40
582,GHSA-74cv-f58x-f9wf,CWE-502;CWE-73,CVE-2021-21343,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-74cv-f58x-f9wf/GHSA-74cv-f58x-f9wf.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
583,GHSA-79rg-7mv3-jrr5,CWE-89,CVE-2021-21380,Maven,org.xwiki.platform:xwiki-platform-ratings-api,0,12.9,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-79rg-7mv3-jrr5/GHSA-79rg-7mv3-jrr5.json,NA,NA,NA,,
584,GHSA-9295-mhf3-v33m,CWE-377,CVE-2021-28099,Maven,com.netflix.hollow:hollow,0,None,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-9295-mhf3-v33m/GHSA-9295-mhf3-v33m.json,https://github.com/Netflix/hollow,NA,NA,,
585,GHSA-f256-j965-7f32,CWE-444,CVE-2021-21409,Maven,io.netty:netty-codec-http2,4.0.0,4.1.61.Final,https://github.com/netty/netty,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-f256-j965-7f32/GHSA-f256-j965-7f32.json,https://github.com/netty/netty,4.1.61.Final,4.1.60.Final,,https://github.com/netty/netty/commit/b0fa4d5aab4215f3c22ce6123dd8dd5f38dc0432
586,GHSA-f4jh-ww96-9h9j,CWE-377,CVE-2021-28100,Maven,com.netflix.priam:priam,0,None,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-f4jh-ww96-9h9j/GHSA-f4jh-ww96-9h9j.json,https://github.com/Netflix/Priam,NA,NA,,
587,GHSA-f6hm-88x3-mfjv,CWE-502;CWE-918,CVE-2021-21349,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-f6hm-88x3-mfjv/GHSA-f6hm-88x3-mfjv.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
588,GHSA-fh63-4r66-jc7v,CWE-79,CVE-2020-13959,Maven,org.apache.velocity.tools:velocity-tools-parent,0,3.1,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-fh63-4r66-jc7v/GHSA-fh63-4r66-jc7v.json,https://gitbox.apache.org/repos/asf?p=velocity-tools.git,3.1,3.0,,
589,GHSA-g2fg-mr77-6vrm,CWE-400,CVE-2020-13949,Maven,org.apache.thrift:libthrift,0.9.3,0.14.0,https://github.com/apache/hbase,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-g2fg-mr77-6vrm/GHSA-g2fg-mr77-6vrm.json,https://github.com/apache/thrift,0.14.0,0.13.0,,
590,GHSA-g9fw-9x87-rmrj,CWE-269;CWE-270,CVE-2020-7020,Maven,org.elasticsearch:elasticsearch,0,6.8.13,https://github.com/elastic/elasticsearch,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-g9fw-9x87-rmrj/GHSA-g9fw-9x87-rmrj.json,https://github.com/elastic/elasticsearch,6.8.13,6.8.12,,
591,GHSA-hpv8-9rq5-hq7w,CWE-200;CWE-378;CWE-732,CVE-2021-21364,Maven,io.swagger:swagger-codegen,0,2.4.19,https://github.com/swagger-api/swagger-codegen/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-hpv8-9rq5-hq7w/GHSA-hpv8-9rq5-hq7w.json,https://github.com/swagger-api/swagger-codegen,2.4.19,2.4.18,,https://github.com/swagger-api/swagger-codegen/commit/35adbd552d5f99b3ff1e0e59da228becc85190f2
592,GHSA-hqqv-9x3v-mp7w,CWE-266;CWE-269,CVE-2020-7014,Maven,org.elasticsearch:elasticsearch,6.7.0,6.8.8,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-hqqv-9x3v-mp7w/GHSA-hqqv-9x3v-mp7w.json,https://github.com/elastic/elasticsearch,6.8.8,6.8.7,,
593,GHSA-hrcp-8f3q-4w2c,CWE-434;CWE-502,CVE-2021-21351,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-hrcp-8f3q-4w2c/GHSA-hrcp-8f3q-4w2c.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
594,GHSA-hvv8-336g-rx3m,CWE-502;CWE-918,CVE-2021-21342,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-hvv8-336g-rx3m/GHSA-hvv8-336g-rx3m.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
595,GHSA-hwpc-8xqv-jvj4,CWE-78;CWE-94,CVE-2021-21345,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-hwpc-8xqv-jvj4/GHSA-hwpc-8xqv-jvj4.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
596,GHSA-hwvv-438r-mhvj,CWE-200;CWE-863,CVE-2021-22134,Maven,org.elasticsearch:elasticsearch,7.6.0,7.11.0,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-hwvv-438r-mhvj/GHSA-hwvv-438r-mhvj.json,https://github.com/elastic/elasticsearch,7.11.0,7.10.2,,
597,GHSA-jgwr-3qm3-26f3,CWE-502,CVE-2021-25329,Maven,org.apache.tomcat.embed:tomcat-embed-core,10.0.0-M1,10.0.2,https://github.com/apache/tomcat,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-jgwr-3qm3-26f3/GHSA-jgwr-3qm3-26f3.json,,10.0.2,10.0.0-M10,,https://github.com/apache/tomcat/commit/6d66e99ef85da93e4d2c2a536ca51aa3418bfaf4
598,GHSA-jpcm-4485-69p7,CWE-532,CVE-2021-21361,Maven,com.bmuschko:gradle-vagrant-plugin,0.6,3.0.0,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-jpcm-4485-69p7/GHSA-jpcm-4485-69p7.json,https://github.com/bmuschko/gradle-vagrant-plugin,3.0.0,2.2.1,,
599,GHSA-m394-8rww-3jr7,CWE-400,CVE-2020-27223,Maven,org.eclipse.jetty:jetty-server,9.4.6,9.4.37,https://github.com/eclipse/jetty.project,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-m394-8rww-3jr7/GHSA-m394-8rww-3jr7.json,https://github.com/jetty/jetty.project,9.4.37.v20210219,9.4.36.v20210114,,
600,GHSA-pc22-3g76-gm6j,CWE-378;CWE-379,CVE-2021-21363,Maven,io.swagger:swagger-codegen,0,2.4.19,https://github.com/swagger-api/swagger-codegen/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-pc22-3g76-gm6j/GHSA-pc22-3g76-gm6j.json,https://github.com/swagger-api/swagger-codegen,2.4.19,2.4.18,,https://github.com/swagger-api/swagger-codegen/commit/987ea7a30b463cc239580d6ad166c707ae942a89
601,GHSA-qpfq-ph7r-qv6f,CWE-434;CWE-502,CVE-2021-21347,Maven,com.thoughtworks.xstream:xstream,0,1.4.16,https://github.com/x-stream/xstream,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-qpfq-ph7r-qv6f/GHSA-qpfq-ph7r-qv6f.json,https://github.com/x-stream/xstream,1.4.16,1.4.15,,https://github.com/x-stream/xstream/commit/d5e51177634afea7213b9dc2d21f101d2e258db9
602,GHSA-v662-xpcc-9xf6,CWE-281,CVE-2021-21379,Maven,org.xwiki.platform:xwiki-platform-rendering-wikimacro-store,11.4,11.10.11,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-v662-xpcc-9xf6/GHSA-v662-xpcc-9xf6.json,NA,NA,NA,,
603,GHSA-wm47-8v5p-wjpj,CWE-444,CVE-2021-21295,Maven,io.netty:netty-codec-http2,4.0.0,4.1.60.Final,https://github.com/netty/netty,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-wm47-8v5p-wjpj/GHSA-wm47-8v5p-wjpj.json,https://github.com/netty/netty,4.1.60.Final,4.1.59.Final,,https://github.com/netty/netty/commit/89c241e3b1795ff257af4ad6eadc616cb2fb3dc4
604,GHSA-xf46-8vvp-4hxx,CWE-306,CVE-2021-20262,Maven,org.keycloak:keycloak-core,0,None,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2021/03/GHSA-xf46-8vvp-4hxx/GHSA-xf46-8vvp-4hxx.json,https://github.com/keycloak/keycloak,NA,NA,,
